Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Appeals,10237.876727,0.32%,30.192604,1.22%,Low difficulty to fill,-4.73%
Agile Product Development,68182.387754,0.02%,28.341176,7.62%,High difficulty to fill,7.41%
AWS CloudFormation,72794.43205,0.09%,27.339201,7.83%,High difficulty to fill,8.49%
IBM DB2,54672.473244,0.08%,26.16737,5.61%,High difficulty to fill,6.02%
Employee Engagement,10781.45121,0.37%,27.551381,1.17%,Low difficulty to fill,2.73%
Continuous Delivery,68285.399838,0.13%,27.447318,7.37%,High difficulty to fill,13.43%
Apache Ignite,74425.172131,0.00%,27.025783,7.90%,High difficulty to fill,-23.81%
Nodes (Networking),52922.871911,0.03%,28.32351,5.91%,High difficulty to fill,4.90%
Target Audience,23925.13298,0.15%,29.678648,2.81%,Medium difficulty to fill,-4.34%
Organic Chemistry,20646.300378,0.02%,30.647257,2.51%,Low difficulty to fill,0.72%
Front End (Software Engineering),58316.959802,0.41%,26.954343,6.18%,High difficulty to fill,4.89%
Data Structures,63997.419153,0.23%,26.648917,6.69%,High difficulty to fill,14.62%
Collateral Management,56834.809951,0.01%,29.291073,6.58%,High difficulty to fill,4.05%
Hardware Interface Design,62255.886506,0.01%,27.724762,6.80%,High difficulty to fill,1.61%
Material Selection,22187.660247,0.04%,30.173245,2.65%,Low difficulty to fill,-0.60%
Online Marketing,1841.941291,0.06%,28.956326,0.21%,Low difficulty to fill,15.43%
Process Safety Management,24278.727874,0.02%,29.937989,2.88%,Medium difficulty to fill,5.26%
Cable Television,0,0.05%,29.931851,0.00%,Low difficulty to fill,-4.15%
Hospital-Acquired Infection,58696.766157,0.01%,29.333128,6.81%,High difficulty to fill,-32.63%
Windows Presentation Foundation,54487.170142,0.02%,27.170345,5.82%,High difficulty to fill,-3.37%
Critical Design Review (CDR),58206.756922,0.02%,28.254016,6.48%,High difficulty to fill,3.71%
Computerized Maintenance Management Systems,7058.922579,0.10%,29.999,0.84%,Low difficulty to fill,3.60%
System Lifecycle,55769.655249,0.03%,27.557342,6.05%,High difficulty to fill,2.45%
Social Media Trends,0,0.02%,30.4549,0.00%,Low difficulty to fill,-3.01%
Rate Of Return,40603.144167,0.01%,30.145371,4.85%,Medium difficulty to fill,-2.56%
Causal Inference,85600.984038,0.01%,28.265087,9.54%,High difficulty to fill,3.60%
Unified Profile For DoDAF/MODAF (UPDM),58800.846264,0.00%,29.326705,6.82%,High difficulty to fill,7.60%
Surfacing,24883.378949,0.00%,29.166008,2.87%,Medium difficulty to fill,5.17%
Business Development,40263.654813,1.54%,30.086212,4.80%,Medium difficulty to fill,-1.76%
Childbirth,48631.26912,0.05%,29.610039,5.70%,High difficulty to fill,-21.43%
Profit And Loss (P&L) Management,20226.217937,0.70%,30.436571,2.44%,Low difficulty to fill,-2.48%
ADP Reporting,4471.908444,0.00%,30.02578,0.53%,Low difficulty to fill,-2.99%
Survivability,65841.65047,0.02%,26.14873,6.75%,High difficulty to fill,-11.47%
Behavior-Driven Development,61064.76364,0.05%,26.521295,6.35%,High difficulty to fill,8.37%
Atlassian Confluence,57514.448326,0.24%,27.746382,6.28%,High difficulty to fill,-4.10%
Proofreading,0,0.44%,30.473599,0.00%,Low difficulty to fill,-4.10%
Environmental Emergency,6259.678093,0.00%,30.517365,0.76%,Low difficulty to fill,2.41%
Internal Communications,20894.232094,0.21%,30.506618,2.53%,Low difficulty to fill,5.31%
Molding (Manufacturing Process),0,0.09%,30.664448,0.00%,Low difficulty to fill,-3.17%
System Integration Testing,54606.545234,0.02%,26.593468,5.70%,High difficulty to fill,1.14%
Plant Design,32497.852519,0.01%,29.623848,3.81%,Medium difficulty to fill,-11.10%
Transitional Care,25694.870718,0.11%,30.029755,3.06%,Medium difficulty to fill,1.08%
Loan Documentation,8081.956494,0.10%,30.870282,0.99%,Low difficulty to fill,-4.53%
Lamination,0,0.04%,32.687004,0.00%,Low difficulty to fill,-1.40%
Billboards,0,0.02%,28.512475,0.00%,Low difficulty to fill,6.06%
Java Platform Enterprise Edition (J2EE),62665.631133,0.14%,25.18633,6.17%,High difficulty to fill,10.47%
Respite Care,0,0.02%,32.485515,0.00%,Low difficulty to fill,4.64%
Ballasts,0,0.04%,30.558732,0.00%,Low difficulty to fill,-2.09%
Fertilizers,0,0.08%,31.960205,0.00%,Low difficulty to fill,-5.41%
Food Plating And Presentation,0,0.06%,31.744245,0.00%,Low difficulty to fill,-9.08%
Appliance Repair,1851.70043,0.11%,31.608444,0.23%,Low difficulty to fill,2.03%
Industrial Construction,20279.041219,0.03%,30.635018,2.46%,Low difficulty to fill,-0.74%
Product Adoption Strategies,62465.433831,0.03%,30.00551,7.42%,High difficulty to fill,0.95%
User Requirements Documents,44504.292761,0.16%,27.946262,4.90%,Medium difficulty to fill,-0.09%
Network Architecture,51296.620194,0.08%,27.240977,5.49%,Medium difficulty to fill,-3.57%
Patient Flow,0,0.33%,30.624107,0.00%,Low difficulty to fill,0.92%
Internal Reporting,17122.158584,0.13%,30.646512,2.08%,Low difficulty to fill,-3.21%
Cognitive Science,47279.995218,0.01%,27.95429,5.21%,Medium difficulty to fill,-3.66%
Futures Exchange,31690.794811,0.04%,29.830703,3.74%,Medium difficulty to fill,-2.02%
Virtual Classroom,665.255973,0.04%,30.814044,0.08%,Low difficulty to fill,0.75%
Office Automation,0,0.05%,28.953861,0.00%,Low difficulty to fill,1.60%
Accruals,15922.687982,0.18%,30.202358,1.91%,Low difficulty to fill,-2.12%
Child Protection,0,0.02%,30.808406,0.00%,Low difficulty to fill,-1.64%
Health Promotion,16262.173866,0.15%,30.364356,1.96%,Low difficulty to fill,5.99%
Group Dynamics,13185.008536,0.06%,30.274872,1.58%,Low difficulty to fill,-2.47%
Databricks,74737.438131,0.05%,27.074047,7.95%,High difficulty to fill,12.47%
Community Mental Health Services,11730.213467,0.09%,30.82769,1.43%,Low difficulty to fill,-0.55%
Flexography,0,0.01%,30.230081,0.00%,Low difficulty to fill,-0.51%
Solution Delivery,66653.342873,0.07%,28.413051,7.47%,High difficulty to fill,7.61%
Heat Guns,0,0.00%,31.255319,0.00%,Low difficulty to fill,2.89%
Virtual Environment,28709.839424,0.06%,29.046053,3.29%,Medium difficulty to fill,8.02%
Software Configuration Management,35091.747513,0.05%,27.857124,3.85%,Medium difficulty to fill,6.30%
Database Application,14500.818505,0.08%,29.990766,1.72%,Low difficulty to fill,-6.24%
Juvenile Delinquency,0,0.01%,29.928172,0.00%,Low difficulty to fill,-5.83%
Course Evaluations,5493.899737,0.08%,30.991527,0.68%,Low difficulty to fill,-2.24%
Hand Therapy,18661.104778,0.01%,31.302871,2.32%,Low difficulty to fill,-21.99%
Calendar Management,0,0.08%,30.014439,0.00%,Low difficulty to fill,-3.25%
Intelligence Analysis,38587.345174,0.04%,26.648833,4.04%,Medium difficulty to fill,-6.45%
Training Records Management,2466.974232,0.08%,30.863987,0.30%,Low difficulty to fill,-2.71%
Mechanical Design,38612.649974,0.10%,28.524089,4.35%,Medium difficulty to fill,-3.40%
Genomics,44128.417377,0.05%,30.857389,5.40%,Medium difficulty to fill,8.53%
Reference Desk,0,0.00%,32.313205,0.00%,Low difficulty to fill,-5.52%
ESG Investing,74988.292711,0.00%,30.916149,9.20%,High difficulty to fill,0.00%
Reference Cards,11865.789028,0.01%,29.986363,1.41%,Low difficulty to fill,-6.25%
Safe Restraining Techniques (Veterinary),0,0.03%,31.608968,0.00%,Low difficulty to fill,-3.51%
Agricultural Education,5782.44299,0.00%,27.062669,0.61%,Low difficulty to fill,0.00%
Testbed,51703.499339,0.01%,27.659686,5.63%,High difficulty to fill,4.69%
Digital Forensics,43162.216295,0.02%,25.8054,4.36%,Medium difficulty to fill,-1.51%
API Gateway,72111.720475,0.04%,26.85282,7.60%,High difficulty to fill,4.01%
General-Purpose Input/Output,74421.362,0.00%,27.306285,7.99%,High difficulty to fill,5.15%
Shiny (R Package),49533.82428,0.01%,27.842333,5.43%,Medium difficulty to fill,4.44%
Plumb Bob,0,0.01%,30.791754,0.00%,Low difficulty to fill,0.00%
Remote Patient Monitoring,28265.869201,0.01%,29.856119,3.34%,Medium difficulty to fill,5.26%
GE iFix,33767.370525,0.00%,29.17952,3.89%,Medium difficulty to fill,0.75%
Security Investigations,0,0.02%,29.762502,0.00%,Low difficulty to fill,-2.38%
Post Processing,27534.569465,0.03%,28.7773,3.13%,Medium difficulty to fill,1.98%
Learning Experience Design,26348.281011,0.01%,30.857916,3.23%,Medium difficulty to fill,5.16%
Trial Preparation,10907.549161,0.03%,31.210912,1.35%,Low difficulty to fill,3.01%
Joint Test Action (IEEE Standards),60540.804126,0.01%,26.74345,6.36%,High difficulty to fill,6.64%
Microsoft Windows 7,0,0.06%,28.441748,0.00%,Low difficulty to fill,9.16%
Physical Therapy Education,29162.392269,0.01%,27.455693,3.15%,Medium difficulty to fill,2.39%
Signal Integrity,71965.514557,0.01%,27.87335,7.90%,High difficulty to fill,0.00%
Transcription Factors,30895.30884,0.00%,31.373832,3.85%,Medium difficulty to fill,5.56%
Prosthetic Devices,13470.581878,0.04%,31.011204,1.66%,Low difficulty to fill,-2.66%
Vascular Access Device,32694.422956,0.01%,31.431294,4.08%,Medium difficulty to fill,-2.53%
Amazon Product Advertising API,16673.881738,0.00%,31.298689,2.07%,Low difficulty to fill,-11.43%
Bilingual (French/English),0,0.02%,32.352636,0.00%,Low difficulty to fill,-10.72%
Engagement Economics,92482.533143,0.01%,28.549944,10.42%,High difficulty to fill,-6.96%
Domestic Relations,0,0.00%,29.630828,0.00%,Low difficulty to fill,-0.75%
Code Generation,67114.363753,0.01%,26.726731,7.04%,High difficulty to fill,1.65%
PLS-CADD (Design Software),37264.739865,0.01%,30.431237,4.50%,Medium difficulty to fill,1.49%
Municipal Law,35854.890958,0.00%,31.847023,4.54%,Medium difficulty to fill,-0.62%
Return Goods Authorization Process,0,0.01%,30.437667,0.00%,Low difficulty to fill,4.27%
Intrusion Detection Systems,38040.745024,0.03%,28.828029,4.33%,Medium difficulty to fill,-4.10%
Sculpture,5550.377389,0.01%,31.943286,0.71%,Low difficulty to fill,-4.62%
Process Failure Mode And Effects Analysis (PFMEA),32347.959314,0.04%,28.918808,3.69%,Medium difficulty to fill,6.41%
Positive Airway Pressure (CPAP/BiPAP),12759.391295,0.03%,30.206493,1.53%,Low difficulty to fill,1.75%
Linear Regression,56510.03194,0.01%,28.482923,6.35%,High difficulty to fill,7.44%
Real World Data,92751.703961,0.01%,28.755396,10.53%,High difficulty to fill,9.90%
Grounding Systems,17509.204162,0.01%,29.067428,2.01%,Low difficulty to fill,-4.20%
Vert.x,61121.373315,0.00%,25.398058,6.07%,High difficulty to fill,0.00%
Machinery Design,27998.758561,0.02%,28.899634,3.20%,Medium difficulty to fill,-1.11%
E-Business,48217.972343,0.01%,28.042467,5.33%,Medium difficulty to fill,-8.03%
Multiple Activation Key,20738.077114,0.00%,26.695174,2.17%,Low difficulty to fill,2.83%
Lymphoma,33443.937007,0.00%,29.101828,3.85%,Medium difficulty to fill,-14.29%
Perineal Care,0,0.01%,30.717933,0.00%,Low difficulty to fill,0.52%
Water Softening,0,0.01%,31.484709,0.00%,Low difficulty to fill,-3.86%
OHSAS 18001 Standard,15312.094827,0.00%,28.567181,1.73%,Low difficulty to fill,-1.72%
Advanced Encryption Standard (AES),37973.908199,0.01%,28.958383,4.34%,Medium difficulty to fill,-0.87%
Pediatric Surgery,51044.759145,0.01%,29.579707,5.97%,High difficulty to fill,-4.23%
Agile Product Management,80934.078626,0.01%,27.815711,8.87%,High difficulty to fill,14.54%
Forensic Nursing,18460.769397,0.00%,31.86758,2.34%,Low difficulty to fill,0.00%
Categorical Data,50058.838536,0.00%,29.164286,5.77%,High difficulty to fill,-7.69%
Tool Management,17226.517872,0.01%,30.064558,2.05%,Low difficulty to fill,2.75%
Hydraulic Brake,0,0.01%,30.122137,0.00%,Low difficulty to fill,3.05%
Design For Manufacture And Assembly (DFMA),44824.023399,0.01%,28.16378,4.98%,Medium difficulty to fill,3.43%
LAN Switching,51388.554218,0.00%,27.2,5.50%,Medium difficulty to fill,-11.22%
Adobe Experience Platform Launch,57916.018655,0.00%,26.959174,6.13%,High difficulty to fill,0.64%
Supercomputing,64482.001519,0.01%,27.727144,7.04%,High difficulty to fill,5.09%
Xctest,71948.244294,0.00%,24.882638,6.99%,High difficulty to fill,-8.70%
Synchronous Optical Networking,24549.572149,0.01%,27.950416,2.70%,Low difficulty to fill,-9.51%
Marine Mammals,3289.833011,0.00%,31.49203,0.41%,Low difficulty to fill,-19.35%
Bridge Management Systems,10819.952973,0.00%,31.248656,1.34%,Low difficulty to fill,1.07%
Screen Size,0,0.00%,29.328431,0.00%,Low difficulty to fill,-21.15%
Language Assessment,8715.596256,0.01%,31.844162,1.10%,Low difficulty to fill,-6.92%
Reciprocating Compressor,12168.743754,0.00%,31.235294,1.51%,Low difficulty to fill,-12.50%
Heat Recovery Ventilation,22747.775073,0.00%,29.784267,2.68%,Low difficulty to fill,-2.27%
35 Mm Films,7158.51881,0.00%,30.64,0.87%,Low difficulty to fill,-8.33%
F5 Load Balancers,53907.949548,0.00%,26.849127,5.68%,High difficulty to fill,-3.88%
Concurrent Estate,38629.722083,0.00%,31.098901,4.77%,Medium difficulty to fill,10.00%
Cerumen,7398.762872,0.00%,32.492163,0.96%,Low difficulty to fill,1.28%
Exploitation,0,0.04%,30.901653,0.00%,Low difficulty to fill,4.29%
Floor Buffer,0,0.02%,33.542749,0.00%,Low difficulty to fill,-0.39%
Electro-Optics,54770.214201,0.02%,28.816898,6.23%,High difficulty to fill,2.31%
Joint Replacement,32193.9943,0.02%,30.497753,3.89%,Medium difficulty to fill,7.25%
Spectre Circuit Simulator,79634.037872,0.00%,29.334012,9.24%,High difficulty to fill,15.85%
Content Creation,15228.696884,0.28%,30.368726,1.83%,Low difficulty to fill,-1.12%
Industrial Engineering,31977.576456,0.18%,28.96275,3.66%,Medium difficulty to fill,-1.01%
Outbreak Control,12258.695087,0.00%,29.847551,1.45%,Low difficulty to fill,4.69%
Drawing,8707.730073,0.04%,30.750776,1.06%,Low difficulty to fill,-0.73%
Revenue Accounting,37119.92687,0.02%,29.673125,4.36%,Medium difficulty to fill,0.80%
Darwin Information Typing Architecture (DITA),33693.498313,0.00%,29.605209,3.95%,Medium difficulty to fill,0.00%
Sales Plays,81617.928895,0.01%,30.170922,9.76%,High difficulty to fill,4.61%
Technology Assessment,61020.728702,0.01%,30.124115,7.28%,High difficulty to fill,8.44%
Renewable Energy,29901.417979,0.07%,30.852454,3.66%,Medium difficulty to fill,4.69%
Antenna,25657.654642,0.06%,29.031426,2.94%,Medium difficulty to fill,6.61%
Text Processing,34014.974695,0.00%,28.269165,3.79%,Medium difficulty to fill,5.36%
Microsoft Dynamics GP,2813.370188,0.02%,30.510758,0.34%,Low difficulty to fill,2.04%
Stamping (Metalworking),0,0.07%,30.240046,0.00%,Low difficulty to fill,-2.36%
Adobe After Effects,8749.756585,0.05%,30.226358,1.05%,Low difficulty to fill,3.36%
Technical Debt,79671.808147,0.04%,28.495176,8.96%,High difficulty to fill,0.66%
DCS File Format,4610.344565,0.01%,29.504557,0.54%,Low difficulty to fill,0.00%
Microsoft Dynamics CRM,37587.034681,0.03%,28.356444,4.20%,Medium difficulty to fill,1.27%
Creating Shareholder Value,59473.512909,0.01%,29.40521,6.92%,High difficulty to fill,5.64%
Cutover Planning And Management,58876.638002,0.01%,26.798195,6.20%,High difficulty to fill,7.11%
Right to Financial Privacy Act,1889.542855,0.00%,32.45679,0.24%,Low difficulty to fill,-4.24%
Quality Scoring,3360.026201,0.00%,29.164792,0.39%,Low difficulty to fill,6.52%
Conference Planning,738.679207,0.01%,31.015631,0.09%,Low difficulty to fill,-7.75%
Supplier Diversity,36627.360629,0.01%,30.64648,4.45%,Medium difficulty to fill,-0.91%
Chainlink,81321.117872,0.00%,28,8.97%,High difficulty to fill,-25.00%
Project Management Information Systems,29372.701586,0.01%,29.417476,3.42%,Medium difficulty to fill,5.63%
X86 Architecture,69261.96455,0.02%,27.880276,7.61%,High difficulty to fill,-1.00%
Emergency Nursing,38143.121638,0.04%,29.47191,4.45%,Medium difficulty to fill,-2.54%
Pulmonary Rehabilitation,25436.575634,0.01%,29.449381,2.96%,Medium difficulty to fill,-1.61%
SAP Business Suite,53397.130616,0.02%,27.742185,5.83%,High difficulty to fill,-0.88%
Control-M (Batch Scheduling Software),53804.36274,0.01%,25.837474,5.44%,Medium difficulty to fill,-1.38%
Panel Saw,0,0.01%,30.600387,0.00%,Low difficulty to fill,-15.44%
Record to Report (R2R),68415.64213,0.01%,28.303433,7.64%,High difficulty to fill,3.13%
Aortic Aneurysm,36331.359834,0.00%,29.585248,4.25%,Medium difficulty to fill,2.17%
Back Pressure,0,0.00%,32.760211,0.00%,Low difficulty to fill,-1.15%
Pay Per Click,10738.448031,0.05%,29.689989,1.26%,Low difficulty to fill,0.40%
Heavy Hauling,11875.006643,0.01%,32.115851,1.52%,Low difficulty to fill,-8.04%
Hospitality Service,0,0.03%,31.334782,0.00%,Low difficulty to fill,-3.32%
Drug Utilization Review,58780.884477,0.02%,31.111652,7.26%,High difficulty to fill,1.67%
Fund Accounting,19316.998559,0.05%,30.687012,2.35%,Low difficulty to fill,-0.12%
Mental Status Examination,34817.241743,0.06%,30.686635,4.24%,Medium difficulty to fill,-1.95%
Urban Studies,24314.396062,0.01%,31.100554,3.00%,Medium difficulty to fill,-4.96%
Mitigating Control,62165.011841,0.01%,29.212919,7.18%,High difficulty to fill,8.53%
Autodesk Inventor,13274.314249,0.01%,30.210871,1.59%,Low difficulty to fill,2.93%
HEC-HMS (Hydrologic Modeling System),34992.387798,0.01%,32.191139,4.48%,Medium difficulty to fill,-4.75%
Electronic Circuit Simulation,56778.080945,0.01%,29.025988,6.51%,High difficulty to fill,3.80%
Keras (Neural Network Library),78487.525967,0.02%,27.730744,8.57%,High difficulty to fill,-0.20%
Peripheral IV,29641.56565,0.00%,32.01701,3.78%,Medium difficulty to fill,-15.97%
Legal Analytics,25908.338884,0.00%,28.537409,2.92%,Medium difficulty to fill,0.00%
Human Resource Policies,10966.531995,0.03%,31.178998,1.36%,Low difficulty to fill,0.41%
Server Hardening,56382.607225,0.00%,27.622244,6.13%,High difficulty to fill,-1.43%
Constitutional Law,28570.994195,0.00%,30.412232,3.44%,Medium difficulty to fill,-2.17%
Golf Instruction,0,0.01%,32.360799,0.00%,Low difficulty to fill,-9.19%
Cash Vaults,0,0.01%,31.586085,0.00%,Low difficulty to fill,-10.54%
Plasma Etching,29289.966443,0.00%,29.923497,3.47%,Medium difficulty to fill,11.11%
Spark Framework,63902.636906,0.00%,25.386921,6.34%,High difficulty to fill,0.00%
Life Insurance Sales,45407.007341,0.01%,31.167424,5.62%,High difficulty to fill,-12.60%
Optical Time-Domain Reflectometer,3035.475653,0.02%,30.331958,0.36%,Low difficulty to fill,0.49%
Dental Records,0,0.01%,31.299191,0.00%,Low difficulty to fill,1.90%
UI/UX Design Patterns,68409.164995,0.01%,28.084639,7.57%,High difficulty to fill,-0.45%
Space Exploration,67078.136403,0.02%,30.135509,8.01%,High difficulty to fill,-0.69%
Acute Coronary Syndrome,45539.955332,0.00%,29.712515,5.36%,Medium difficulty to fill,-1.56%
Retaining Wall,0,0.03%,33.397346,0.00%,Low difficulty to fill,-5.46%
Astronomy,18545.056754,0.01%,30.754143,2.26%,Low difficulty to fill,3.61%
Individualized Instruction,0,0.03%,30.252241,0.00%,Low difficulty to fill,-11.08%
Property Leasing,0,0.02%,30.747484,0.00%,Low difficulty to fill,-0.37%
Valuation Models,61741.192714,0.01%,31.181818,7.65%,High difficulty to fill,-2.05%
Transportation Safety,1920.022059,0.02%,31.008903,0.24%,Low difficulty to fill,-2.99%
Java XML,58062.31946,0.00%,26.068684,5.93%,High difficulty to fill,0.00%
Apparel Sales,0,0.01%,33.267803,0.00%,Low difficulty to fill,8.31%
Medical Device Assembly,0,0.01%,28.876209,0.00%,Low difficulty to fill,-0.31%
Snail Mail,0,0.00%,30.652174,0.00%,Low difficulty to fill,-3.77%
Genome-Wide Association Study,51699.868581,0.00%,29.29878,5.99%,High difficulty to fill,3.23%
Channel Inventory,30840.250723,0.00%,30.310559,3.70%,Medium difficulty to fill,-8.70%
Clinical Documentation Improvement,19666.380622,0.01%,29.959139,2.33%,Low difficulty to fill,-8.52%
Sublime Text Editor,31570.661725,0.00%,27.54,3.42%,Medium difficulty to fill,28.57%
Light Microscopes,5080.357725,0.00%,30.519685,0.61%,Low difficulty to fill,1.32%
Commercial Art,5435.152039,0.00%,29.505759,0.63%,Low difficulty to fill,-8.16%
Prothrombin Time,579.71969,0.00%,31.571429,0.07%,Low difficulty to fill,-22.22%
Computer-Aided Audit Tools,30616.533584,0.00%,32.525351,3.97%,Medium difficulty to fill,9.09%
Array Formulas,30784.575372,0.00%,30.815085,3.76%,Medium difficulty to fill,-2.86%
Human Nutrition,0,0.02%,31.526759,0.00%,Low difficulty to fill,-7.66%
PowerCLI,56414.795207,0.00%,27.528653,6.11%,High difficulty to fill,-2.63%
Network Bridges,23051.989485,0.00%,28.099042,2.55%,Low difficulty to fill,-16.23%
Circumcision,57608.596582,0.00%,28.939331,6.59%,High difficulty to fill,0.00%
Chisels,0,0.02%,29.540284,0.00%,Low difficulty to fill,-4.39%
Cochlear Implants,20064.951601,0.00%,31.471574,2.51%,Low difficulty to fill,4.17%
Distributed Antenna Systems,25393.360143,0.00%,30.620573,3.08%,Medium difficulty to fill,-5.95%
Boiler Water,5241.115858,0.00%,29.030164,0.60%,Low difficulty to fill,-4.47%
Gift Wrapping,0,0.01%,31.896396,0.00%,Low difficulty to fill,-8.44%
Concrete Mixing And Batching,0,0.01%,31.947056,0.00%,Low difficulty to fill,-3.84%
Air-Cooled Engines,4127.553131,0.00%,29.694608,0.49%,Low difficulty to fill,-5.22%
Bank Examination,93250.333033,0.01%,29.129213,10.73%,High difficulty to fill,3.01%
Lesion,13024.754536,0.02%,30.635626,1.58%,Low difficulty to fill,-8.52%
Instructional Theories,6247.531023,0.00%,32.138559,0.80%,Low difficulty to fill,-9.45%
DxDesigner (Software),53779.986259,0.00%,29.689686,6.32%,High difficulty to fill,-100.00%
Trauma Surgery,66297.754575,0.01%,29.080053,7.62%,High difficulty to fill,-6.80%
Marketing Copy,8842.353645,0.01%,30.230332,1.06%,Low difficulty to fill,5.00%
Equipment Demonstration,2816.693501,0.01%,31.070313,0.35%,Low difficulty to fill,-9.09%
Oracle Apex,55390.993129,0.00%,25.908031,5.62%,High difficulty to fill,1.66%
Media Briefs,35062.259726,0.00%,31.204348,4.35%,Medium difficulty to fill,10.81%
Capability Assessment,63520.859016,0.01%,28.23771,7.07%,High difficulty to fill,0.00%
Loan Syndication,48803.7182,0.00%,29.766014,5.75%,High difficulty to fill,0.00%
Unified Field Theories (UFT),47794.125074,0.01%,25.643126,4.79%,Medium difficulty to fill,-1.79%
Electromagnetic Waveguides,15014.658887,0.01%,30.841745,1.84%,Low difficulty to fill,2.13%
Habitat Conservation,8629.059055,0.00%,29.694118,1.01%,Low difficulty to fill,-4.30%
Animatronics,0,0.00%,36.951852,0.00%,Low difficulty to fill,-64.00%
Domain Name System,38976.10188,0.01%,28.815282,4.43%,Medium difficulty to fill,6.90%
Underground Storage Tanks (UST),0,0.01%,30.209945,0.00%,Low difficulty to fill,2.24%
Navigational Charts,25142.268287,0.00%,28.096573,2.78%,Medium difficulty to fill,7.27%
Security Patterns,81020.761835,0.00%,26.022472,8.26%,High difficulty to fill,-9.57%
Mortgage Laws,4062.574385,0.00%,30.887407,0.50%,Low difficulty to fill,-1.59%
Incentive Spirometry,5078.90963,0.01%,28.696152,0.58%,Low difficulty to fill,-8.23%
Siebel CRM,37924.210415,0.01%,28.528773,4.27%,Medium difficulty to fill,-10.05%
Amazon DocumentDB,69113.137,0.00%,27.552743,7.49%,High difficulty to fill,-8.72%
Microfluidics,30277.595564,0.00%,31.279412,3.76%,Medium difficulty to fill,0.00%
Packet Loss,6789.084525,0.00%,28.7,0.77%,Low difficulty to fill,-2.17%
NetBase Quid,39534.3572,0.00%,29.085239,4.54%,Medium difficulty to fill,-6.67%
Applied Mechanics,25681.522165,0.01%,26.875716,2.71%,Low difficulty to fill,-10.98%
Monte Carlo N-Particle Transport Codes,59205.338164,0.00%,29.501235,6.91%,High difficulty to fill,-5.77%
