Skills_Label,Growth Category,Mid Scenario
Intelligence Analysis,Lagging,-6.45%
Training Records Management,Growing,-2.71%
Mechanical Design,Growing,-3.40%
Genomics,Growing,8.53%
Reference Desk,Stable,-5.52%
ESG Investing,Growing,0.00%
Reference Cards,Stable,-6.25%
Safe Restraining Techniques (Veterinary),Lagging,-3.51%
Agricultural Education,Stable,0.00%
Testbed,Growing,4.69%
Digital Forensics,Stable,-1.51%
API Gateway,Growing,4.01%
General-Purpose Input/Output,Stable,5.15%
Shiny (R Package),Stable,4.44%
Plumb Bob,Lagging,0.00%
Remote Patient Monitoring,Growing,5.26%
GE iFix,Stable,0.75%
Security Investigations,Lagging,-2.38%
Post Processing,Growing,1.98%
Learning Experience Design,Stable,5.16%
Trial Preparation,Growing,3.01%
Joint Test Action (IEEE Standards),Growing,6.64%
Microsoft Windows 7,Rapidly Growing,9.16%
Physical Therapy Education,Growing,2.39%
Signal Integrity,Stable,0.00%
Transcription Factors,Growing,5.56%
Prosthetic Devices,Stable,-2.66%
Vascular Access Device,Lagging,-2.53%
Amazon Product Advertising API,Stable,-11.43%
Bilingual (French/English),Stable,-10.72%
Engagement Economics,Lagging,-6.96%
Domestic Relations,Stable,-0.75%
Code Generation,Stable,1.65%
PLS-CADD (Design Software),Rapidly Growing,1.49%
Municipal Law,Lagging,-0.62%
Return Goods Authorization Process,Stable,4.27%
Intrusion Detection Systems,Growing,-4.10%
Sculpture,Stable,-4.62%
Process Failure Mode And Effects Analysis (PFMEA),Growing,6.41%
Positive Airway Pressure (CPAP/BiPAP),Lagging,1.75%
Linear Regression,Stable,7.44%
Real World Data,Rapidly Growing,9.90%
Grounding Systems,Lagging,-4.20%
Vert.x,Stable,0.00%
Machinery Design,Growing,-1.11%
E-Business,Lagging,-8.03%
Multiple Activation Key,Growing,2.83%
Lymphoma,Stable,-14.29%
Perineal Care,Stable,0.52%
Water Softening,Lagging,-3.86%
OHSAS 18001 Standard,Lagging,-1.72%
Advanced Encryption Standard (AES),Growing,-0.87%
Pediatric Surgery,Lagging,-4.23%
Agile Product Management,Rapidly Growing,14.54%
Forensic Nursing,Stable,0.00%
Categorical Data,Lagging,-7.69%
Tool Management,Growing,2.75%
Hydraulic Brake,Lagging,3.05%
Design For Manufacture And Assembly (DFMA),Stable,3.43%
LAN Switching,Lagging,-11.22%
Adobe Experience Platform Launch,Stable,0.64%
Supercomputing,Growing,5.09%
Xctest,Lagging,-8.70%
Synchronous Optical Networking,Lagging,-9.51%
Marine Mammals,Lagging,-19.35%
Bridge Management Systems,Lagging,1.07%
Screen Size,Stable,-21.15%
Language Assessment,Lagging,-6.92%
Reciprocating Compressor,Rapidly Growing,-12.50%
Heat Recovery Ventilation,Lagging,-2.27%
35 Mm Films,Growing,-8.33%
F5 Load Balancers,Growing,-3.88%
Concurrent Estate,Rapidly Growing,10.00%
Cerumen,Lagging,1.28%
Exploitation,Stable,4.29%
Floor Buffer,Lagging,-0.39%
Electro-Optics,Lagging,2.31%
Joint Replacement,Growing,7.25%
Spectre Circuit Simulator,Rapidly Growing,15.85%
Content Creation,Stable,-1.12%
Industrial Engineering,Growing,-1.01%
Outbreak Control,Growing,4.69%
Drawing,Stable,-0.73%
Revenue Accounting,Stable,0.80%
Darwin Information Typing Architecture (DITA),Lagging,0.00%
Sales Plays,Growing,4.61%
Technology Assessment,Growing,8.44%
Renewable Energy,Rapidly Growing,4.69%
Antenna,Growing,6.61%
Text Processing,Growing,5.36%
Microsoft Dynamics GP,Stable,2.04%
Stamping (Metalworking),Stable,-2.36%
Adobe After Effects,Lagging,3.36%
Technical Debt,Growing,0.66%
DCS File Format,Lagging,0.00%
Microsoft Dynamics CRM,Growing,1.27%
Creating Shareholder Value,Stable,5.64%
Cutover Planning And Management,Rapidly Growing,7.11%
Right to Financial Privacy Act,Stable,-4.24%
Quality Scoring,Growing,6.52%
Conference Planning,Stable,-7.75%
Supplier Diversity,Lagging,-0.91%
Chainlink,Rapidly Growing,-25.00%
Project Management Information Systems,Stable,5.63%
X86 Architecture,Lagging,-1.00%
Emergency Nursing,Growing,-2.54%
Pulmonary Rehabilitation,Growing,-1.61%
SAP Business Suite,Stable,-0.88%
Control-M (Batch Scheduling Software),Lagging,-1.38%
Panel Saw,Lagging,-15.44%
Record to Report (R2R),Stable,3.13%
Aortic Aneurysm,Rapidly Growing,2.17%
Back Pressure,Growing,-1.15%
Pay Per Click,Growing,0.40%
Heavy Hauling,Growing,-8.04%
Hospitality Service,Rapidly Growing,-3.32%
Drug Utilization Review,Stable,1.67%
Fund Accounting,Growing,-0.12%
Mental Status Examination,Growing,-1.95%
Urban Studies,Lagging,-4.96%
Mitigating Control,Growing,8.53%
Autodesk Inventor,Lagging,2.93%
HEC-HMS (Hydrologic Modeling System),Lagging,-4.75%
Electronic Circuit Simulation,Growing,3.80%
Keras (Neural Network Library),Growing,-0.20%
Peripheral IV,Lagging,-15.97%
Legal Analytics,,
Human Resource Policies,Growing,0.41%
Server Hardening,Growing,-1.43%
Constitutional Law,Growing,-2.17%
Golf Instruction,Lagging,-9.19%
Cash Vaults,Growing,-10.54%
Plasma Etching,Rapidly Growing,11.11%
Spark Framework,Growing,0.00%
Life Insurance Sales,Lagging,-12.60%
Optical Time-Domain Reflectometer,Rapidly Growing,0.49%
Dental Records,Lagging,1.90%
UI/UX Design Patterns,Growing,-0.45%
Space Exploration,Growing,-0.69%
Acute Coronary Syndrome,Growing,-1.56%
Retaining Wall,Lagging,-5.46%
Astronomy,Stable,3.61%
Individualized Instruction,Lagging,-11.08%
Property Leasing,Lagging,-0.37%
Valuation Models,Stable,-2.05%
Transportation Safety,Lagging,-2.99%
Java XML,Stable,0.00%
Apparel Sales,Growing,8.31%
Medical Device Assembly,Lagging,-0.31%
Snail Mail,Growing,-3.77%
Genome-Wide Association Study,Growing,3.23%
Channel Inventory,Growing,-8.70%
Clinical Documentation Improvement,Stable,-8.52%
Sublime Text Editor,Rapidly Growing,28.57%
Light Microscopes,Growing,1.32%
Commercial Art,Growing,-8.16%
Prothrombin Time,Lagging,-22.22%
Computer-Aided Audit Tools,Growing,9.09%
Array Formulas,Growing,-2.86%
Human Nutrition,Lagging,-7.66%
PowerCLI,Stable,-2.63%
Network Bridges,Lagging,-16.23%
Circumcision,Growing,0.00%
Chisels,Rapidly Growing,-4.39%
Cochlear Implants,Stable,4.17%
Distributed Antenna Systems,Growing,-5.95%
Boiler Water,Lagging,-4.47%
Gift Wrapping,Lagging,-8.44%
Concrete Mixing And Batching,Lagging,-3.84%
Air-Cooled Engines,Growing,-5.22%
Bank Examination,Lagging,3.01%
Lesion,Lagging,-8.52%
Instructional Theories,Stable,-9.45%
DxDesigner (Software),Lagging,-100.00%
Trauma Surgery,Lagging,-6.80%
Marketing Copy,Growing,5.00%
Equipment Demonstration,Lagging,-9.09%
Oracle Apex,Lagging,1.66%
Media Briefs,Rapidly Growing,10.81%
Capability Assessment,,
Loan Syndication,,
Unified Field Theories (UFT),Lagging,-1.79%
Electromagnetic Waveguides,Growing,2.13%
Habitat Conservation,Growing,-4.30%
Animatronics,Lagging,-64.00%
Domain Name System,Stable,6.90%
Underground Storage Tanks (UST),Stable,2.24%
Navigational Charts,Growing,7.27%
Security Patterns,Stable,-9.57%
Mortgage Laws,Lagging,-1.59%
Incentive Spirometry,Lagging,-8.23%
Siebel CRM,Lagging,-10.05%
Amazon DocumentDB,Stable,-8.72%
Microfluidics,Growing,0.00%
Packet Loss,Stable,-2.17%
NetBase Quid,Growing,-6.67%
Applied Mechanics,Lagging,-10.98%
Monte Carlo N-Particle Transport Codes,Lagging,-5.77%
Neuroimaging,Growing,-1.31%
Hydrodesulfurization,Lagging,-19.56%
Noninvasive Blood Pressure Amplifier (NIBP),Growing,-15.62%
Reinforcement Learning,Growing,13.31%
Metro Ethernet,Growing,-15.06%
Global Mapper,Growing,3.64%
Diffusion Furnaces,Rapidly Growing,0.00%
Product Classification,Growing,6.82%
Registration Authority,Growing,-19.05%
Promulgation,Lagging,0.70%
WebMethods,Lagging,-21.16%
Craniofacial Surgery,Growing,-10.00%
Order Corrections,Stable,3.45%
Inlay,Stable,0.00%
Path Finding,Rapidly Growing,-20.00%
Management Auditing,Stable,3.15%
Voltage Regulator,Stable,5.78%
Autodesk MotionBuilder,Rapidly Growing,6.25%
Teleconferencing,Lagging,-0.66%
Telephone Consumer Protection Act (TCPA),Lagging,-1.25%
Abiotic Stress Resistance,Growing,0.00%
Capital Asset Pricing Models,Rapidly Growing,-25.00%
Compensation Benchmarking,Growing,6.41%
Polyspace,Lagging,-36.36%
Traffic Design,Stable,-8.05%
Paint Stripper,Growing,-2.70%
Total Internal Reflection Fluorescence Microscope,Rapidly Growing,0.00%
Computer Clusters,Lagging,0.00%
Audio Engineering,Stable,-2.67%
Osmolality,Growing,11.63%
HUD-VASH (Veteran Affairs Supportive Housing),Growing,3.12%
Java Object Oriented Querying,Growing,-17.24%
Epifluorescence,Rapidly Growing,7.14%
Basic Offshore Safety Induction And Emergency Training (BOSIET),Growing,-41.18%
Bulk Density,Growing,0.00%
Dry Rot,Lagging,-14.29%
Stress Engineering,Lagging,-8.79%
Mathematical Programming,Growing,-12.16%
International Marketing,Stable,2.83%
Web Usability,Lagging,-2.90%
Scientific Data Archiving,Stable,1.49%
LightTools (Optical Design Software),Rapidly Growing,0.00%
Randomized Controlled Trial,Growing,12.50%
Power-System Automation,Rapidly Growing,6.49%
Cinematography,Growing,-2.37%
Legal Citations,Lagging,-8.64%
Stepper Motor,Growing,-9.68%
Electric Vehicle (EV) Installation,Growing,-25.00%
Heat-Lamp Stimulation,Lagging,-33.33%
Domino XML Language,Rapidly Growing,-3.12%
Bumpers (Installation And Repair),Lagging,-10.71%
Java Security,Lagging,-26.98%
Necrotizing Fasciitis,Rapidly Growing,9.09%
Limelight,Lagging,-33.33%
Synchronous Learning,Lagging,-4.88%
Cardiac Valve Repair,Stable,-1.75%
Varicent (Software),Stable,-21.67%
Coastal Engineering,Growing,6.74%
Cytogenetics,Lagging,-3.81%
Transient Expression,Rapidly Growing,-16.67%
Lightcast (Software),Growing,13.33%
Sports Analytics,Rapidly Growing,12.50%
Aircraft Weapons,Growing,2.40%
Section Drawings,Lagging,-0.74%
Employee Consultation,Growing,-10.00%
IBM SQL/DS,Rapidly Growing,-50.00%
Shapefile,Rapidly Growing,7.14%
Laptop Troubleshooting,Growing,7.50%
Dedoose (Qualitative Data Analysis Software),Rapidly Growing,0.00%
Teamsite,Lagging,-11.11%
Jewelry Design,Lagging,-6.45%
Wear OS,Rapidly Growing,0.00%
IT Asset Disposition (ITAD),Growing,3.57%
Digital Preservation,Growing,0.00%
Andover Controls (Building Automation System),Lagging,-100.00%
Remote Access Service,Lagging,1.37%
Accounts Payable Automation,Lagging,-20.83%
ADP SmartCompliance,Growing,7.23%
Subsidies,Growing,4.76%
Uranium,Stable,2.56%
X86 Assembly Languages,Growing,-12.50%
Develop Business Management,,
ISO 14064,Rapidly Growing,12.50%
Oracle Unified Directory (OUD),Lagging,-7.14%
Water Safety Instruction,Growing,12.77%
Batch Reconciliation,Stable,0.00%
Biblical Hebrew,Lagging,0.00%
Mayan Language,Rapidly Growing,0.00%
Tympanometry,Stable,4.58%
Telangiectasias,Growing,2.94%
Rotary Engine,Lagging,0.00%
Auto Layout,Growing,-12.00%
Acute Medicine,Growing,5.26%
Water Injection,Rapidly Growing,0.00%
Volume Testing,Growing,-20.00%
Zapier,Growing,12.12%
Credit Defaults,Rapidly Growing,0.00%
Bullhorn (Software),Rapidly Growing,-100.00%
Vertical Farming,Stable,-20.00%
Sapb1,Rapidly Growing,-25.00%
Stall (Enclosure),Rapidly Growing,18.18%
Law Practice Management,Stable,-5.26%
Java Collections Framework,Rapidly Growing,-23.53%
Epidemiological Method,Lagging,-6.82%
Apple Watch,Stable,-18.18%
Phases Of Clinical Research,Lagging,-12.96%
Magik,Lagging,-50.00%
Scalability Testing,Rapidly Growing,18.52%
Assisted Reproductive Technology,Lagging,-7.02%
Enhanced Versatile Disc,Lagging,1.18%
DermalogiCA,Stable,-13.33%
Apache Ranger,Growing,0.00%
Equity Capital Markets,Growing,10.00%
Collection Development,Stable,0.00%
Animal Health,Growing,4.57%
OSIsoft,Stable,1.75%
Heat Exchanger,Stable,-1.13%
Hyperthermia,Lagging,-5.26%
Aerodynamics,Growing,2.25%
ClickHouse DBMS,Growing,2.17%
Markup Languages,Lagging,2.86%
Animal Nutrition,Growing,-6.80%
IronPort,Growing,-12.50%
Retail Experience,Lagging,-14.10%
Collateral Valuation,Growing,2.44%
Aerial Cable,Lagging,-0.68%
Client Server Models,Lagging,-1.10%
Geoprocessing,Lagging,0.00%
User Analysis,Rapidly Growing,12.50%
Family And Consumer Sciences,Rapidly Growing,-12.59%
Production Drawing,Growing,0.00%
Customer Relationship Marketing,Lagging,-16.46%
Hostile Work Environment,Growing,-0.41%
Advertising Strategy,Growing,8.27%
Gitkraken,Rapidly Growing,-33.33%
K-12 Education,Growing,-5.66%
Validation Master Plan,Lagging,-60.00%
Sputter Deposition,Growing,-11.59%
Embedding,Growing,2.33%
Spring Cloud Netflix,Rapidly Growing,0.00%
Social Media Content Management,Stable,2.04%
Emissions Inventory,Rapidly Growing,-10.96%
Banking Software,Stable,3.11%
CAD Programs,Growing,-4.91%
Airfield Operations,Growing,0.00%
Robotic Automation Software,Growing,9.33%
Legal Remedy,Growing,0.00%
Gift Accounting,Rapidly Growing,0.00%
Modeling Languages,Stable,4.75%
Data Terminal Equipment,Lagging,-17.61%
Bronchial Hygiene,Lagging,1.19%
Publish Subscribe,Growing,2.74%
Legal Document Management,Growing,-2.22%
Internal Storage,Lagging,-26.92%
Welding Tips,Growing,-9.68%
Bizagi,Rapidly Growing,-50.00%
Internetworking,Growing,5.36%
Pelvic Floor Rehabilitation,Lagging,0.40%
Layout Optimization,Lagging,-41.41%
Business Blueprinting,Lagging,-6.25%
Space Radiation,Lagging,-24.44%
Marine Ecology,Rapidly Growing,-5.00%
Metamaterials,Rapidly Growing,5.26%
Upper Endoscopies,Stable,1.52%
Health Care System,Stable,3.59%
Resource-Based Relative Value Scale,Stable,-5.94%
Central Venous Access,Growing,0.00%
2020 Design Software,Lagging,-3.77%
Forest Science,Growing,10.35%
Throughput,Growing,-1.56%
Continuous Passive Motion Device,Stable,-11.77%
Cloud Security Applications,Rapidly Growing,4.76%
News Analysis,Lagging,-22.86%
Content Repository,Growing,2.27%
Sustainment Logistics,Growing,-9.68%
Matrix Analysis,Growing,-27.27%
Capistrano (Software),Stable,-12.50%
Micropipettes,Stable,-2.78%
Gastrectomy,Growing,0.00%
Triconex,Growing,0.00%
Bone Grafting,Lagging,-2.89%
Chemical Libraries,Growing,-10.00%
Nielsen SoundScan,Rapidly Growing,-50.00%
Tree Surveying,Growing,0.00%
Industrial Software,Lagging,-13.29%
Direct Web Remoting (Java),Rapidly Growing,-100.00%
HyperWorks (CAE Software),Lagging,-4.76%
Radiation Oncology Physics,Stable,-5.88%
Congestion Management,Growing,2.00%
Template Matching,Lagging,0.00%
Franchise Disclosure Document,Rapidly Growing,-14.29%
Show Control,Lagging,-3.45%
Cloud Forensics,Rapidly Growing,25.00%
PostGIS,Growing,7.34%
Single Page Application,Growing,-9.83%
Multiple-Camera Production,Stable,-4.05%
Reference Management Software,Growing,2.30%
Revenue Sharing,Rapidly Growing,14.82%
Behavioral Antecedent,Growing,-1.69%
Antibody Tests,Stable,-10.81%
Electronic Referrals,Growing,-8.33%
Snubbing (Oil And Gas),Rapidly Growing,-7.41%
Technology Readiness Level,Growing,4.81%
Air Brush,Lagging,-9.48%
Processor Architecture,Growing,-3.85%
Crime Scene Reconstruction,Growing,10.00%
Protein Biosynthesis,Growing,0.00%
Dilation And Curettage,Growing,-27.27%
Samsung Gear VR,Growing,0.00%
Dolby Digital,Rapidly Growing,-20.00%
Merchant Bank,Lagging,0.00%
Molecular Biophysics,Rapidly Growing,0.00%
Community Reinvestment Act (CRA) Lending,Growing,-2.86%
Microprocessor Architecture,Stable,-9.09%
Steel Forms,Rapidly Growing,16.67%
Air Cargos,Growing,6.25%
GStreamer,Growing,-26.92%
Health Information Systems Programs,Rapidly Growing,0.00%
Cisco Intersight,Growing,-28.57%
Suitetalk,Lagging,-25.00%
ControlUp,Rapidly Growing,0.00%
App Data,Rapidly Growing,-18.75%
ClinTrial,Lagging,-50.00%
Heart-Lung Machine,Stable,-2.44%
Bursitis,Lagging,-18.18%
Paris Agreement,Stable,-4.54%
Tendinopathy,Lagging,-13.64%
Information Display Systems,Rapidly Growing,-7.41%
GPT-3 (NLP Model),Growing,-19.23%
Active Directory Rights Management Services,Growing,-16.67%
Psycholinguistics,Rapidly Growing,0.00%
Channel Router,Lagging,-30.00%
Random Number Generation,Growing,-20.00%
Java Caps,Lagging,-25.00%
Secondary Ion Mass Spectrometry,Rapidly Growing,100.00%
Windows Software Development,Rapidly Growing,11.11%
Cosmetic Sciences,Rapidly Growing,-7.14%
Stock Checking,Growing,8.33%
Systematic Sampling,Lagging,0.00%
Stokes Equation,Lagging,-66.67%
Document Development Life Cycle (DDLC),Stable,-14.29%
YouTube Marketing,Rapidly Growing,50.00%
Transit Maintenance,Growing,-21.43%
Portable Applications,Rapidly Growing,-100.00%
Satellite Radio,Growing,0.00%
Residual Gas Analyzer,Rapidly Growing,20.00%
Operations And Management Platform,Rapidly Growing,-28.57%
GNU Linear Programming Kit,Rapidly Growing,0.00%
Qualitative Marketing Research,Rapidly Growing,-50.00%
Workamajig,Rapidly Growing,33.33%
Oil Pressure,Growing,-2.86%
Macrocycle,Rapidly Growing,-33.33%
Sango Language,Lagging,-44.44%
InstallShield,Lagging,-37.50%
Cultural Assimilation,Rapidly Growing,14.29%
Integration DEFinition For Information Modeling (IDEF1X),Rapidly Growing,-33.33%
Wss 3.0,,
Memory Corruption,Growing,-20.00%
Trackpad,Rapidly Growing,14.29%
Transportation Sourcing,Growing,2.78%
HTML Tables,Lagging,-21.43%
Wastewater Collection System Operation,Growing,0.00%
VME EXtensions For Instrumentation,Rapidly Growing,-36.36%
Plant-Microbe Interactions,Rapidly Growing,8.33%
Equity Method,Growing,3.12%
Dried Blood Spot Testing,Rapidly Growing,0.00%
User-Mode Driver Framework,,
Blepharoplasty,Growing,-10.00%
Particle Filter,Lagging,-15.00%
Manufacturing Process Management,Rapidly Growing,-11.11%
WiFi Toolset,,
Windows Server Virtualization,Growing,0.00%
Ultrix,Growing,-50.00%
Capacitive Sensing,Rapidly Growing,-100.00%
Client/Server Application Language (C/AL),Growing,-11.11%
OSI Monarch,Lagging,-20.00%
Class Hierarchy,Lagging,-14.29%
Surface Modification,Lagging,-9.09%
TargetLink,Growing,-9.09%
Product Availability Matrix,,
Enterprise Services Repository,Growing,0.00%
Ultraviolet Germicidal Irradiation,Lagging,-13.64%
Annealing Furnaces,Rapidly Growing,0.00%
Trust Boundary,Lagging,-50.00%
Asynchronous Javascript,Growing,-14.29%
Dbscan,Rapidly Growing,-11.11%
Live Migration,Lagging,-33.33%
IBM Planning Analytics Workspace,Rapidly Growing,-66.67%
Bubble.io,,
Neuromuscular Electrical Stimulation (NMES),Rapidly Growing,-100.00%
CA Service Virtualization,Rapidly Growing,-20.00%
Social Bookmarking,Rapidly Growing,-100.00%
Grid Layout,Lagging,-100.00%
Infinispan,,
Pushstate,,
Apache CloudStack,Growing,10.00%
Land Data Assimilation Systems,Lagging,-100.00%
Design For Environment (DfE),Rapidly Growing,0.00%
Communications Server,Stable,0.00%
Transpiler,Lagging,-50.00%
International Futures,Lagging,-100.00%
Playready,Rapidly Growing,50.00%
Chemical Shift,Lagging,0.00%
National Health And Nutrition Examination Survey,Growing,0.00%
GROningen MAchine For Chemical Simulations (GROMACS),Rapidly Growing,10.00%
Teleprompter Operation,Lagging,-25.00%
U.S. Regulatory Compliance,Growing,-5.56%
ModeFRONTIER,Lagging,-16.67%
Wine Processing,Rapidly Growing,-18.75%
Reasoning Systems,Rapidly Growing,0.00%
Remote Data Services,,
PowerTeacher (Software),Growing,0.00%
Pre-Conception Counseling,Rapidly Growing,0.00%
Robustness Testing,Rapidly Growing,33.33%
Hypobaric Chamber,Lagging,-22.22%
OpenBSD,Lagging,-14.29%
Rangefinder,Lagging,-20.00%
ReWire,,
Document.write,Lagging,-56.76%
Neurochemistry,,
Adafruit,Lagging,-100.00%
Drug Validation,Lagging,-37.50%
Data Center Bridging,Lagging,-33.33%
AspectJ,Lagging,-40.00%
Wireless Remote-Control Switch,Lagging,0.00%
Commercial Mechanical Inspection,Stable,-12.50%
DDEV (Software),Lagging,-100.00%
Religious Text,,
Bayesian Probability,Rapidly Growing,-50.00%
Clam AntiVirus,,
McAfee Siteadvisor,Lagging,0.00%
Francisella Tularensis,Lagging,-100.00%
Industrial Law,Lagging,-66.67%
Capacitance Voltage Profiling,Growing,-20.00%
Solrcloud,,
Linear Algebra Package (LAPACK),Rapidly Growing,0.00%
Raster Graphics Editor,,
IIS Metabase,Lagging,-100.00%
Staged Combustion Cycle,Lagging,-33.33%
Coal Gasification,,
Video Connectors,,
Vnext,Lagging,-50.00%
Tilemill,,
Nanotime,Rapidly Growing,0.00%
Biological Membrane,Lagging,0.00%
Apache Fop,Lagging,0.00%
Lymphocytic Choriomeningitis,Lagging,-100.00%
Data-Link Switching,Lagging,-50.00%
ArisGlobal,Rapidly Growing,200.00%
Google Search Appliance,Lagging,-66.67%
Airport Express (Apple Inc. Peripherals),Lagging,-50.00%
Stonesetting,,
Dayi Language,,
Webhdfs,Lagging,-100.00%
Wealth Tax,Rapidly Growing,-25.00%
Jlink,,
Dedicated Outdoor Air Systems,Lagging,0.00%
Voice Broadcasting,Lagging,-50.00%
Disk Cleanup,Lagging,-50.00%
Adobe Encore,Lagging,0.00%
PSOS,Growing,-40.00%
Fuzzy Search,,
Clinker,,
Agricultural Chemistry,Rapidly Growing,-75.00%
Procmail,,
OsCommerce,Lagging,-40.00%
Cognitive Models,,
Skimage,,
Naturopathy,Lagging,0.00%
Mspec,Rapidly Growing,-25.00%
Buck Converter,Lagging,-25.00%
Open Mobile Alliance Device Management,Lagging,-100.00%
IBM Systems Director,Lagging,-100.00%
Manual Metal Arc Welding,Lagging,-100.00%
Instruction Pipeline,,
Helium Extraction,Rapidly Growing,0.00%
Public Land Mobile Networks,,
Discretization,Growing,-16.67%
Rewrite Rules,Rapidly Growing,0.00%
Flame Ionization Detector,Lagging,-21.05%
.NET Framework 3,Rapidly Growing,-66.67%
Sustainability Bond,Rapidly Growing,-50.00%
Semiconductor Lasers,Rapidly Growing,-11.11%
Compound Handling,Rapidly Growing,-50.00%
Polar Coordinates,Lagging,-100.00%
OS 2200 (Unisys Operating Systems),Lagging,-33.33%
Pattern Language,Lagging,-33.33%
Irish Language,,
Video Display Controller,,
Ptrace,Lagging,-100.00%
Drawable,,
Microsoft Expression Studio,Lagging,-100.00%
3D Projection,Rapidly Growing,-100.00%
Phased Array,Lagging,-100.00%
Spreadsheetgear,,
Spheris,Lagging,0.00%
Live Instrumentation,,
JsRender/JsViews,,
Rweka,,
Search Box,,
Backup Domain Controller,,
Commodity Futures Modernization Act,,
European Patent Law,,
Jqplot,,
Base64,,
Stratosphere,,
Firstlogic,,
Microwave Thermotherapy,,
Fontforge,,
Vapor-Liquid Equilibrium,,
Gevent,,
Electronic Chart Display And Information Systems,,
Virtualmin,,
Florida Comprehensive Assessment Tests,,
PC/TCP Packet Drivers,,
ISO/IEEE 11073,,
Svn Client,,
Photoworks,,
Sumerian Language,,
Internet Suite,,
Ethernet Extender,,
Beowulf Cluster,,
