Occupation,Skill_Name,Frequency_in_the_market
Advertising / Promotions Manager,Leadership,24.43%
Advertising / Promotions Manager,Planning,23.26%
Advertising / Promotions Manager,Operations,22.68%
Advertising / Promotions Manager,Detail Oriented,22.14%
Advertising / Promotions Manager,Customer Service,19.28%
Advertising / Promotions Manager,Project Management,19.04%
Advertising Sales Representative,Marketing,83.74%
Advertising Sales Representative,Communication,56.68%
Advertising Sales Representative,Sales,48.31%
Advertising Sales Representative,Detail Oriented,29.18%
Advertising Sales Representative,Social Media,24.95%
Advertising Sales Representative,Management,24.59%
Advertising Sales Representative,Customer Service,23.27%
Advertising Sales Representative,Writing,20.68%
Advertising Sales Representative,Planning,20.61%
Advertising Sales Representative,Coordinating,20.29%
Aerospace Engineer,Communication,34.36%
Aerospace Engineer,Leadership,26.69%
Aerospace Engineer,Aerospace Engineering,26.50%
Aerospace Engineer,Operations,26.36%
Aerospace Engineer,Management,25.53%
Aerospace Engineer,Planning,21.20%
Aerospace Engineer,Problem Solving,20.49%
Aerospace Engineer,Systems Engineering,20.46%
Aerospace Engineer,Mathematics,18.96%
Aerospace Engineer,Research,17.15%
Agile Coach,Agile Methodology,91.28%
Agile Coach,Agile Coaching,72.22%
Agile Coach,Scrum (Software Development),72.06%
Agile Coach,Coaching,70.51%
Agile Coach,Leadership,55.49%
Agile Coach,Communication,49.96%
Agile Coach,Mentorship,43.27%
Agile Coach,Planning,42.65%
Agile Coach,Management,40.78%
Agile Coach,Lean Manufacturing,39.38%
Agricultural Engineer,Research,56.73%
Agricultural Engineer,Management,56.73%
Agricultural Engineer,Agriculture,55.77%
Agricultural Engineer,Planning,48.08%
Agricultural Engineer,Hydrology,40.38%
Agricultural Engineer,Agricultural Engineering,39.42%
Agricultural Engineer,Physics,39.42%
Agricultural Engineer,Construction,39.42%
Agricultural Engineer,Thermodynamics,39.42%
Agricultural Engineer,Professional Engineer (PE) License,38.46%
Agricultural Engineer,Hydraulics,38.46%
Agricultural Engineer,Computer Science,38.46%
Agricultural Science Professor,Agriculture,75.07%
Agricultural Science Professor,Teaching,59.80%
Agricultural Science Professor,Communication,33.29%
Agricultural Science Professor,Agricultural Science,27.23%
Agricultural Science Professor,Teaching Certificate,25.94%
Agricultural Science Professor,Leadership,22.19%
Agricultural Science Professor,Animal Science,20.32%
Agricultural Science Professor,Management,20.17%
Agricultural Science Professor,Interpersonal Communications,17.72%
Agricultural Science Professor,Planning,16.57%
Aircraft / A & P Mechanic,Airframe & Powerplant (A&P) Certificate,43.43%
Aircraft / A & P Mechanic,Aircraft Maintenance,39.30%
Aircraft / A & P Mechanic,Federal Aviation Administration,39.05%
Aircraft / A & P Mechanic,Troubleshooting (Problem Solving),38.47%
Aircraft / A & P Mechanic,Valid Driver's License,31.69%
Aircraft / A & P Mechanic,Operations,27.07%
Aircraft / A & P Mechanic,Communication,24.24%
Aircraft / A & P Mechanic,English Language,21.59%
Aircraft / A & P Mechanic,Hand Tools,20.45%
Aircraft / A & P Mechanic,Mechanics,18.29%
Airfield Operations Specialist,Operations,57.51%
Airfield Operations Specialist,Customer Service,50.83%
Airfield Operations Specialist,Communication,43.98%
Airfield Operations Specialist,Valid Driver's License,42.69%
Airfield Operations Specialist,Management,38.08%
Airfield Operations Specialist,Leadership,24.21%
Airfield Operations Specialist,English Language,21.30%
Airfield Operations Specialist,Lifting Ability,21.09%
Airfield Operations Specialist,Problem Solving,17.40%
Airfield Operations Specialist,Coordinating,16.07%
Alarm / Security System Technician,Troubleshooting (Problem Solving),47.62%
Alarm / Security System Technician,Fire Alarm Systems,46.70%
Alarm / Security System Technician,Valid Driver's License,45.97%
Alarm / Security System Technician,Communication,38.07%
Alarm / Security System Technician,Access Controls,34.17%
Alarm / Security System Technician,Customer Service,32.52%
Alarm / Security System Technician,Alarm Devices,32.28%
Alarm / Security System Technician,Low Voltage,26.54%
Alarm / Security System Technician,Security Systems,26.04%
Alarm / Security System Technician,Good Driving Record,23.00%
Alternative Energy Manager,Communication,69.44%
Alternative Energy Manager,Management,59.08%
Alternative Energy Manager,Leadership,56.03%
Alternative Energy Manager,Presentations,46.69%
Alternative Energy Manager,Project Management,42.61%
Alternative Energy Manager,Sales,42.44%
Alternative Energy Manager,Forecasting,36.33%
Alternative Energy Manager,Valid Driver's License,32.26%
Alternative Energy Manager,Finance,31.41%
Alternative Energy Manager,Operations,29.71%
Alternative Energy Manager,Customer Relationship Management,29.71%
Alternative Energy Manager,Planning,29.71%
Alternative Energy Manager,Customer Service,29.71%
Alternative Health Practitioner,Communication,34.69%
Alternative Health Practitioner,Traditional Chinese Medicine,21.43%
Alternative Health Practitioner,Treatment Planning,19.39%
Alternative Health Practitioner,Reflexology,18.37%
Alternative Health Practitioner,Acupuncture License,16.33%
Alternative Health Practitioner,Customer Service,15.31%
Alternative Health Practitioner,Research,14.29%
Alternative Health Practitioner,Herbalism,14.29%
Alternative Health Practitioner,Holistic Health,11.22%
Alternative Health Practitioner,Interpersonal Communications,10.20%
Analytics Manager,Data Analysis,66.21%
Analytics Manager,Communication,56.13%
Analytics Manager,Data Science,52.09%
Analytics Manager,Python (Programming Language),43.14%
Analytics Manager,Leadership,42.30%
Analytics Manager,SQL (Programming Language),39.36%
Analytics Manager,Machine Learning,38.60%
Analytics Manager,Management,38.50%
Analytics Manager,Computer Science,34.68%
Analytics Manager,Project Management,33.01%
Anesthesia Technician,Anesthesias,96.34%
Anesthesia Technician,Basic Life Support (BLS) Certification,48.19%
Anesthesia Technician,Anesthesiology,40.30%
Anesthesia Technician,Operating Room (OR),38.22%
Anesthesia Technician,Surgery,21.58%
Anesthesia Technician,Communication,20.51%
Anesthesia Technician,Troubleshooting (Problem Solving),20.15%
Anesthesia Technician,Infection Control,15.67%
Anesthesia Technician,Asepsis,14.99%
Anesthesia Technician,Nursing,13.88%
Animal Care Worker / Manager,Communication,35.09%
Animal Care Worker / Manager,Customer Service,34.04%
Animal Care Worker / Manager,Animal Care,19.86%
Animal Care Worker / Manager,Detail Oriented,19.19%
Animal Care Worker / Manager,Lifting Ability,16.90%
Animal Care Worker / Manager,Compassion,13.39%
Animal Care Worker / Manager,Management,13.10%
Animal Care Worker / Manager,Cleanliness,11.86%
Animal Care Worker / Manager,Physical Stamina,11.12%
Animal Care Worker / Manager,Professionalism,11.07%
Animal Control Officer,Animal Control,78.68%
Animal Control Officer,Valid Driver's License,65.73%
Animal Control Officer,Communication,45.99%
Animal Control Officer,Investigation,34.89%
Animal Control Officer,Rabies,32.95%
Animal Control Officer,Animal Care,32.42%
Animal Control Officer,Customer Service,27.58%
Animal Control Officer,Animal Bites,23.17%
Animal Control Officer,Operations,22.03%
Animal Control Officer,Animal Handling,21.85%
Animal Trainer,Communication,41.73%
Animal Trainer,Dog Training,38.99%
Animal Trainer,Positive Reinforcement,23.56%
Animal Trainer,Customer Service,23.34%
Animal Trainer,Professionalism,20.98%
Animal Trainer,Scheduling,19.25%
Animal Trainer,Animal Care,18.77%
Animal Trainer,Marketing,17.11%
Animal Trainer,Organizational Skills,16.85%
Animal Trainer,Interpersonal Communications,16.25%
Anthropology / Archaeology Professor,Anthropology,98.58%
Anthropology / Archaeology Professor,Teaching,86.24%
Anthropology / Archaeology Professor,Archaeology,33.48%
Anthropology / Archaeology Professor,Sociology,26.52%
Anthropology / Archaeology Professor,Research,26.24%
Anthropology / Archaeology Professor,Cultural Anthropology,24.82%
Anthropology / Archaeology Professor,Social Sciences,22.70%
Anthropology / Archaeology Professor,Communication,18.44%
Anthropology / Archaeology Professor,Biology,17.02%
Anthropology / Archaeology Professor,Talent Management,15.32%
Arbitrator / Mediator / Conciliator,Communication,52.82%
Arbitrator / Mediator / Conciliator,Arbitration,30.14%
Arbitrator / Mediator / Conciliator,Mediation,29.01%
Arbitrator / Mediator / Conciliator,Management,28.31%
Arbitrator / Mediator / Conciliator,Writing,23.94%
Arbitrator / Mediator / Conciliator,Conflict Resolution,22.54%
Arbitrator / Mediator / Conciliator,Investigation,21.69%
Arbitrator / Mediator / Conciliator,Customer Service,20.70%
Arbitrator / Mediator / Conciliator,Advocacy,19.86%
Arbitrator / Mediator / Conciliator,Valid Driver's License,18.17%
Arborist / Faller,Pruning,57.45%
Arborist / Faller,Valid Driver's License,50.00%
Arborist / Faller,Chainsaws,49.97%
Arborist / Faller,Arboriculture,40.88%
Arborist / Faller,Horticulture,31.07%
Arborist / Faller,Hand Tools,30.60%
Arborist / Faller,Forestry,29.18%
Arborist / Faller,Landscaping,28.87%
Arborist / Faller,Communication,25.94%
Arborist / Faller,Certified Arborist,23.77%
Archeologist,Archaeology,94.74%
Archeologist,Anthropology,85.77%
Archeologist,Excavation,51.63%
Archeologist,Valid Driver's License,49.75%
Archeologist,Research,40.99%
Archeologist,Cultural Resource Management,40.78%
Archeologist,Communication,34.22%
Archeologist,Project Management,32.43%
Archeologist,Management,31.39%
Archeologist,National Historic Preservation Act (NHPA),31.34%
Architect,Autodesk Revit,58.69%
Architect,Project Management,44.31%
Architect,Communication,42.55%
Architect,Architecture License,34.61%
Architect,AutoCAD,34.58%
Architect,Planning,29.86%
Architect,Construction,27.44%
Architect,Construction Management,26.87%
Architect,Coordinating,26.82%
Architect,Leadership,26.18%
Architecture Professor,Teaching,91.11%
Architecture Professor,Research,37.78%
Architecture Professor,Landscape Architecture,31.56%
Architecture Professor,Planning,23.56%
Architecture Professor,Architectural Design,19.56%
Architecture Professor,Innovation,17.78%
Architecture Professor,Advising,17.78%
Architecture Professor,Design Studio,17.33%
Architecture Professor,Architectural History,15.56%
Architecture Professor,Construction,15.56%
Archivist,Collections,56.57%
Archivist,Archives,55.15%
Archivist,Research,53.85%
Archivist,Library,43.55%
Archivist,Digitization,42.13%
Archivist,Management,38.58%
Archivist,Metadata,35.50%
Archivist,Communication,31.24%
Archivist,Finding Aids,24.85%
Archivist,Writing,24.85%
Art / Music Professor,Teaching,88.02%
Art / Music Professor,Communication,25.03%
Art / Music Professor,Graphic Design,17.60%
Art / Music Professor,Talent Management,15.79%
Art / Music Professor,Ethical Standards And Conduct,13.35%
Art / Music Professor,Writing,12.42%
Art / Music Professor,Research,11.94%
Art / Music Professor,Pedagogy,11.61%
Art / Music Professor,Curriculum Development,10.98%
Art / Music Professor,Art History,10.13%
Art Teacher,Teaching,53.18%
Art Teacher,Art Education,35.86%
Art Teacher,Communication,33.16%
Art Teacher,Teaching Certificate,22.31%
Art Teacher,Lesson Planning,19.09%
Art Teacher,Classroom Management,12.93%
Art Teacher,Painting,12.53%
Art Teacher,Planning,11.78%
Art Teacher,Customer Service,11.15%
Art Teacher,Writing,9.73%
Art Therapist,Art Therapy,54.34%
Art Therapist,Treatment Planning,31.44%
Art Therapist,Psychiatry,27.24%
Art Therapist,Creative Arts Therapy,25.75%
Art Therapist,Psychology,23.71%
Art Therapist,Communication,23.58%
Art Therapist,Mental Health,22.49%
Art Therapist,Music Therapy,20.05%
Art Therapist,Recreational Therapy,18.02%
Art Therapist,Social Work,17.89%
Artist / Illustrator,Communication,26.11%
Artist / Illustrator,Customer Service,22.51%
Artist / Illustrator,Sales,17.29%
Artist / Illustrator,Management,16.80%
Artist / Illustrator,Operations,12.28%
Artist / Illustrator,Painting,12.24%
Artist / Illustrator,Teaching,11.32%
Artist / Illustrator,Adobe Illustrator,11.19%
Artist / Illustrator,Selling Techniques,10.84%
Artist / Illustrator,Merchandising,10.83%
Asphalt / Screed Worker / Paver,Paving,38.96%
Asphalt / Screed Worker / Paver,Asphalt Paving,32.31%
Asphalt / Screed Worker / Paver,Valid Driver's License,29.29%
Asphalt / Screed Worker / Paver,Operations,25.26%
Asphalt / Screed Worker / Paver,Communication,22.39%
Asphalt / Screed Worker / Paver,Construction,21.47%
Asphalt / Screed Worker / Paver,Management,16.49%
Asphalt / Screed Worker / Paver,Oil And Gas,14.59%
Asphalt / Screed Worker / Paver,Lifting Ability,14.33%
Asphalt / Screed Worker / Paver,Teamwork,14.29%
Astrologer / Psychic,Communication,20.69%
Astrologer / Psychic,Psychology,10.34%
Astrologer / Psychic,Critical Thinking,10.34%
Astrologer / Psychic,Customer Service,8.62%
Astrologer / Psychic,Heart Rate,6.90%
Astrologer / Psychic,Cannabis,6.90%
Astrologer / Psychic,Optometry,6.90%
Astrologer / Psychic,Health Assessment,6.90%
Astrologer / Psychic,Drawing,5.17%
Astrologer / Psychic,Pain Management,5.17%
Astrologer / Psychic,Anatomy,5.17%
Astrologer / Psychic,Selling Techniques,5.17%
Astrologer / Psychic,Medium Voltage,5.17%
Astrologer / Psychic,Electrical Engineering,5.17%
Astrologer / Psychic,Medical Terminology,5.17%
Astrologer / Psychic,Construction,5.17%
Astrologer / Psychic,Board Certified/Board Eligible,5.17%
Astrologer / Psychic,Murals,5.17%
Astronomer,Astronomy,93.06%
Astronomer,Research,86.11%
Astronomer,Physics,68.06%
Astronomer,Astrophysics,43.06%
Astronomer,Data Analysis,22.22%
Astronomer,Writing,16.67%
Astronomer,Communication,16.67%
Astronomer,Python (Programming Language),16.67%
Astronomer,Crime Prevention,15.28%
Astronomer,Management,13.89%
Astronomer,Mathematics,13.89%
Astronomer,Spectroscopy,13.89%
Athlete / Sports Competitor,Customer Service,38.47%
Athlete / Sports Competitor,Communication,38.37%
Athlete / Sports Competitor,Operations,35.75%
Athlete / Sports Competitor,Management,28.03%
Athlete / Sports Competitor,Sales,25.04%
Athlete / Sports Competitor,Teaching,21.79%
Athlete / Sports Competitor,Merchandising,19.83%
Athlete / Sports Competitor,Leadership,15.56%
Athlete / Sports Competitor,Scheduling,14.93%
Athlete / Sports Competitor,Planning,14.79%
Athletic Trainer,Athletic Training,81.85%
Athletic Trainer,Rehabilitation,50.86%
Athletic Trainer,Communication,38.56%
Athletic Trainer,Certified Athletic Trainer,38.44%
Athletic Trainer,Sports Medicine,38.31%
Athletic Trainer,Cardiopulmonary Resuscitation (CPR) Certification,30.26%
Athletic Trainer,Injury Prevention,24.87%
Athletic Trainer,Basic Life Support (BLS) Certification,24.45%
Athletic Trainer,Management,22.26%
Athletic Trainer,Sports Injuries,21.33%
Audio / Visual Technician,Troubleshooting (Problem Solving),54.42%
Audio / Visual Technician,Communication,44.26%
Audio / Visual Technician,Customer Service,41.35%
Audio / Visual Technician,Valid Driver's License,27.11%
Audio / Visual Technician,Management,24.73%
Audio / Visual Technician,Operations,24.73%
Audio / Visual Technician,Crestron (A/V Systems),19.11%
Audio / Visual Technician,Lifting Ability,19.03%
Audio / Visual Technician,Video Conferencing,17.82%
Audio / Visual Technician,Detail Oriented,17.76%
Audiologist,Audiology,99.63%
Audiologist,Hearing Disorders,30.86%
Audiologist,Communication,26.06%
Audiologist,Management,23.04%
Audiologist,Audiology License,19.80%
Audiologist,Pediatrics,17.93%
Audiologist,Vestibular Rehabilitation,17.11%
Audiologist,Vestibular System,17.11%
Audiologist,Tinnitus,16.01%
Audiologist,Patient Education And Counseling,15.37%
Auditor,Auditing,87.54%
Auditor,Accounting,57.67%
Auditor,Management,46.88%
Auditor,Communication,43.54%
Auditor,Internal Auditing,32.38%
Auditor,Finance,28.80%
Auditor,Internal Controls,26.45%
Auditor,Operations,25.42%
Auditor,Financial Statements,24.08%
Auditor,Leadership,23.94%
Auto Body Technician,Valid Driver's License,27.19%
Auto Body Technician,Customer Service,26.87%
Auto Body Technician,Painting,21.68%
Auto Body Technician,Power Tool Operation,20.36%
Auto Body Technician,Communication,14.93%
Auto Body Technician,Detail Oriented,14.80%
Auto Body Technician,Lifting Ability,14.70%
Auto Body Technician,Auto Body Repairs,13.75%
Auto Body Technician,Hand Tools,13.27%
Auto Body Technician,Upholstery,12.93%
Auto Damage Appraiser,Communication,54.11%
Auto Damage Appraiser,Valid Driver's License,42.29%
Auto Damage Appraiser,Customer Service,31.95%
Auto Damage Appraiser,Negotiation,30.82%
Auto Damage Appraiser,Management,26.32%
Auto Damage Appraiser,Teamwork,22.83%
Auto Damage Appraiser,Organizational Skills,18.11%
Auto Damage Appraiser,Detail Oriented,17.32%
Auto Damage Appraiser,Subrogation,16.76%
Auto Damage Appraiser,Microsoft Office,16.65%
Automotive Electronics Installer,Valid Driver's License,71.21%
Automotive Electronics Installer,Customer Service,67.55%
Automotive Electronics Installer,Troubleshooting (Problem Solving),64.77%
Automotive Electronics Installer,Good Driving Record,61.49%
Automotive Electronics Installer,Automotive Technologies,58.33%
Automotive Electronics Installer,Safety Standards,58.21%
Automotive Electronics Installer,Communication,16.04%
Automotive Electronics Installer,Mobile Electronics Certified Professional,11.36%
Automotive Electronics Installer,Problem Solving,10.73%
Automotive Electronics Installer,Mechanical Aptitude,10.10%
Automotive Glass Installer,Auto Glass Installation And Repair,84.92%
Automotive Glass Installer,Valid Driver's License,61.61%
Automotive Glass Installer,Customer Service,49.15%
Automotive Glass Installer,Positivity,33.28%
Automotive Glass Installer,Performance Metric,28.85%
Automotive Glass Installer,Business Metrics,28.85%
Automotive Glass Installer,Family And Medical Leave Act Of 1993,25.44%
Automotive Glass Installer,Windshield,25.02%
Automotive Glass Installer,Lifting Ability,16.69%
Automotive Glass Installer,Communication,14.56%
Automotive Service Technician / Mechanic,Valid Driver's License,44.24%
Automotive Service Technician / Mechanic,Automotive Services,32.34%
Automotive Service Technician / Mechanic,Customer Service,31.40%
Automotive Service Technician / Mechanic,Communication,24.84%
Automotive Service Technician / Mechanic,Changing Oil,22.69%
Automotive Service Technician / Mechanic,Automotive Service Excellence (ASE) Certification,17.11%
Automotive Service Technician / Mechanic,Brakes,16.72%
Automotive Service Technician / Mechanic,Suspension (Vehicle),15.05%
Automotive Service Technician / Mechanic,Mechanics,12.89%
Automotive Service Technician / Mechanic,Tires,12.59%
Aviation / Aircraft Inspector,Federal Aviation Administration,66.60%
Aviation / Aircraft Inspector,English Language,58.90%
Aviation / Aircraft Inspector,Airworthiness,50.72%
Aviation / Aircraft Inspector,Management,46.87%
Aviation / Aircraft Inspector,Aviation Safety,45.81%
Aviation / Aircraft Inspector,Federal Aviation Regulations,44.27%
Aviation / Aircraft Inspector,Auditing,38.11%
Aviation / Aircraft Inspector,Operations,38.02%
Aviation / Aircraft Inspector,Valid Driver's License,36.57%
Aviation / Aircraft Inspector,Aircraft Maintenance,35.03%
Avionics Technician,Avionics,54.91%
Avionics Technician,Troubleshooting (Problem Solving),47.00%
Avionics Technician,Communication,32.62%
Avionics Technician,Federal Aviation Administration,26.50%
Avionics Technician,Electrical Wiring,23.58%
Avionics Technician,Test Equipment,23.06%
Avionics Technician,Operations,19.34%
Avionics Technician,Blueprinting,17.40%
Avionics Technician,Airframe & Powerplant (A&P) Certificate,15.82%
Avionics Technician,Leadership,14.69%
Bailiff,Communication,34.96%
Bailiff,Valid Driver's License,28.28%
Bailiff,Legal Hearings,21.34%
Bailiff,Customer Service,19.79%
Bailiff,Law Enforcement,16.45%
Bailiff,Operations,14.91%
Bailiff,Jury Trial,13.62%
Bailiff,Docketing (Court),12.60%
Bailiff,Writing,12.08%
Bailiff,Management,11.83%
Baker,Customer Service,43.75%
Baker,Baking,43.26%
Baker,Cake Decorating,36.67%
Baker,Food Safety And Sanitation,33.23%
Baker,Sanitation,29.89%
Baker,Sales,24.59%
Baker,Merchandising,23.04%
Baker,Communication,22.35%
Baker,Cleanliness,15.34%
Baker,Management,15.01%
Banking Branch Manager,Customer Service,68.37%
Banking Branch Manager,Sales,64.26%
Banking Branch Manager,Management,64.08%
Banking Branch Manager,Operations,63.33%
Banking Branch Manager,Leadership,60.33%
Banking Branch Manager,Communication,42.38%
Banking Branch Manager,Coaching,42.23%
Banking Branch Manager,Loans,30.29%
Banking Branch Manager,Auditing,26.49%
Banking Branch Manager,Problem Solving,23.93%
Barber / Hair Stylist / Cosmetologist,Cosmetology,67.26%
Barber / Hair Stylist / Cosmetologist,Barber License,45.39%
Barber / Hair Stylist / Cosmetologist,Customer Service,39.68%
Barber / Hair Stylist / Cosmetologist,Communication,19.40%
Barber / Hair Stylist / Cosmetologist,Sales,18.26%
Barber / Hair Stylist / Cosmetologist,Cosmetology License,18.20%
Barber / Hair Stylist / Cosmetologist,Cleanliness,11.33%
Barber / Hair Stylist / Cosmetologist,Ear Piercing,8.20%
Barber / Hair Stylist / Cosmetologist,Administrative Functions,8.06%
Barber / Hair Stylist / Cosmetologist,Professionalism,7.82%
Barista,Customer Service,71.42%
Barista,Communication,50.35%
Barista,Cash Handling,46.71%
Barista,Energetic,35.57%
Barista,Interpersonal Communications,34.95%
Barista,Quick Learning,33.05%
Barista,Punctuality,32.70%
Barista,Food Safety And Sanitation,15.79%
Barista,Cash Register,13.70%
Barista,Cleanliness,13.17%
Bartender,Customer Service,38.70%
Bartender,Restaurant Operation,32.55%
Bartender,Communication,29.58%
Bartender,Bartending,28.05%
Bartender,Cleanliness,20.89%
Bartender,Cash Handling,18.62%
Bartender,Management,16.87%
Bartender,Professionalism,14.56%
Bartender,Multitasking,14.33%
Bartender,Detail Oriented,13.24%
Beautician,Esthetician License,35.38%
Beautician,Customer Service,33.24%
Beautician,Sales,32.16%
Beautician,Skin Care,23.45%
Beautician,Communication,22.44%
Beautician,Dermabrasion,20.47%
Beautician,Professionalism,15.61%
Beautician,Cleanliness,14.93%
Beautician,Treatment Planning,13.69%
Beautician,Sanitation,13.66%
Behavior Analyst,Board Certified Behavior Analyst (BCBA),66.57%
Behavior Analyst,Registered Behavior Technician (RBT),46.82%
Behavior Analyst,Communication,44.02%
Behavior Analyst,Autism Spectrum Disorders,40.92%
Behavior Analyst,Applied Behavior Analysis,31.58%
Behavior Analyst,Treatment Planning,31.00%
Behavior Analyst,Intervention Plans,22.53%
Behavior Analyst,Psychology,20.99%
Behavior Analyst,Working With Children,18.89%
Behavior Analyst,Data Collection,18.62%
Bell Person / Baggage Attendant,Customer Service,61.22%
Bell Person / Baggage Attendant,Communication,34.67%
Bell Person / Baggage Attendant,Management,33.67%
Bell Person / Baggage Attendant,Loading And Unloading,23.76%
Bell Person / Baggage Attendant,Greeting Customers,22.98%
Bell Person / Baggage Attendant,Operations,22.39%
Bell Person / Baggage Attendant,Valid Driver's License,22.34%
Bell Person / Baggage Attendant,English Language,21.58%
Bell Person / Baggage Attendant,Lifting Ability,16.75%
Bell Person / Baggage Attendant,Cleanliness,16.73%
Bike Technician,Customer Service,66.32%
Bike Technician,Sales,47.55%
Bike Technician,Bicycle Repair,45.88%
Bike Technician,Communication,40.99%
Bike Technician,Management,35.58%
Bike Technician,Merchandising,33.79%
Bike Technician,Loss Prevention,31.55%
Bike Technician,Selling Techniques,24.01%
Bike Technician,Relationship Building,23.78%
